City,Day,Date,Station,Use Case,Status,CPO Name,Manufacturer,MODEL,Voltage(V),Current(A),Power(kW),Start Method,Has_12A_24A,Start Time,Start SoC(%),End Time,End SoC(%),End Method,End Reason,Test Result,Error Describe,Remark,cpo_pinyin,city_abbr,station_num,station_id,Internal_Market_Share (%),National_Impact_Share (%)
成都,2,2026-03-10,小鵬超級充電站（都江堰）,UC01_CC_DC_AC_Sessions,Normal Test,城頭能源,深圳市泳聯科技公司,DC,1000.0,250.0,60.0,Scan QR Code,1.0,2026-03-10 12:54:09,43.0,2026-03-10 12:56:46,45.0,LAT,Manual Stop,Pass,,實際輸出功率大於額定功率，CPO 蓉e充,cheng_tou_neng_yuan,CD,1,CD_cheng_tou_neng_yuan_001,,
成都,2,2026-03-10,逸安啟超充站(成都龍湖金楠天街),UC01_CC_DC_AC_Sessions,Normal Test,Bmw,深圳英飛源技有限公司,DC,1000.0,600.0,600.0,Scan QR Code,1.0,2026-03-10 17:00:25,43.0,2026-03-10 17:05:44,60.0,APP,Manual Stop,Pass,,,Bmw,CD,1,CD_Bmw_001,,
成都,2,2026-03-10,特斯拉(成都仁和新城城市展厅),UC01_CC_DC_AC_Sessions,Normal Test,Tesla,tesla,DC,720.0,789.0,106.0,Scan QR Code,1.0,2026-03-10 18:03:33,57.0,2026-03-10 18:04:57,60.0,CID,Manual Stop,Pass,,ＡＰＰ停止時 車端報錯，車輛提示充電發生錯誤,Tesla,CD,1,CD_Tesla_001,,
成都,2,2026-03-10,億豐匯超級充電站,UC01_CC_DC_AC_Sessions,Normal Test,億匯充,萬邦數字科技,DC,1000.0,400.0,120.0,Scan QR Code,1.0,2026-03-10 18:27:01,60.0,2026-03-10 18:29:40,63.0,CID,Manual Stop,,,,yi_hui_chong,CD,1,CD_yi_hui_chong_001,,
成都,2,2026-03-10,武侯商程超充站,UC01_CC_DC_AC_Sessions,Normal Test,惠知電,重庆惠程未来智能电气有限公司,DC,1000.0,250.0,250.0,Scan QR Code,1.0,2026-03-10 18:54:59,60.0,2026-03-10 18:56:51,61.0,LAT,Manual Stop,Pass,,,hui_zhi_dian,CD,1,CD_hui_zhi_dian_001,,
成都,2,2026-03-10,Shell 殼牌,UC01_CC_DC_AC_Sessions,"Station Inaccessible (Access Control, Construction, etc.)",Unknown,,,,,,,,,,,,,,,,,Unknown,CD,3,CD_Unknown_003,,
成都,2,2026-03-10,港投中油高升桥充电站,UC01_CC_DC_AC_Sessions,"Station Inaccessible (Access Control, Construction, etc.)",Unknown,,,,,,,,,,,,,,,,,Unknown,CD,4,CD_Unknown_004,,
成都,2,2026-03-10,港投中油高升桥充电站,UC01_CC_DC_AC_Sessions,Normal Test,公交新能源,四川沃轮电气制造有限公司,DC,1000.0,600.0,80.0,Scan QR Code,1.0,2026-03-10 19:30:24,60.0,2026-03-10 19:33:15,,Target SOC,Manual Stop,Failed,,,gong_jiao_xin_neng_yuan,CD,1,CD_gong_jiao_xin_neng_yuan_001,,
成都,2,2026-03-10,港投中油高升桥充电站,UC01_CC_DC_AC_Sessions,Normal Test,公交新能源,四川沃轮电气制造有限公司,DC,,,,Scan QR Code,1.0,2026-03-10 19:35:54,60.0,2026-03-10 19:38:14,61.0,CID,Manual Stop,,,掃描小吉充電開始，相片同上一條紀錄中,gong_jiao_xin_neng_yuan,CD,2,CD_gong_jiao_xin_neng_yuan_002,,
成都,3,2026-03-11,云快充汽车充电站(银木佳苑充电站),UC01_CC_DC_AC_Sessions,Normal Test,雲快充,四川蔚守电气有限公司,DC,750.0,250.0,60.0,Scan QR Code,1.0,2026-03-11 10:43:00,51.0,2026-03-11 10:46:00,53.0,APP,Manual Stop,Pass,,,yun_kuai_chong,CD,1,CD_yun_kuai_chong_001,5.09,10.9
成都,3,2026-03-11,百源智联充电站(成都市龙泉普洛斯),UC01_CC_DC_AC_Sessions,Normal Test,百源智联,四川蔚字电气有限责任公司,DC,750.0,200.0,120.0,Scan QR Code,1.0,2026-03-11 11:19:00,51.0,2026-03-11 11:23:00,53.0,APP,Manual Stop,Pass,,充電電流150A,bai_yuan_zhi_lian,CD,1,CD_bai_yuan_zhi_lian_001,0.03,0.0
成都,3,2026-03-11,新电途汽车充电站(壹电蜀福卡充电站),UC01_CC_DC_AC_Sessions,Normal Test,新電徒,深圳科士达科技股份有限公司,DC,750.0,250.0,120.0,Scan QR Code,1.0,2026-03-11 12:31:00,44.0,2026-03-11 12:32:00,45.0,LAT,Manual Stop,,,,xin_dian_tu,CD,1,CD_xin_dian_tu_001,,
成都,3,2026-03-11,领充双流示范充电站,UC01_CC_DC_AC_Sessions,Normal Test,領充,领充新能源科技有限公司,DC,1000.0,120.0,120.0,Scan QR Code,1.0,2026-03-11 15:30:00,27.0,2026-03-11 15:33:00,,Target SOC,Manual Stop,,,,ling_chong,CD,1,CD_ling_chong_001,,
成都,3,2026-03-11,领充双流示范充电站,UC01_CC_DC_AC_Sessions,Normal Test,領充,领充新能源科技有限公司,DC,1000.0,120.0,120.0,Scan QR Code,1.0,2026-03-11 15:34:00,30.0,2026-03-11 15:37:00,35.0,LAT,Manual Stop,Pass,,第二種外型不同,ling_chong,CD,2,CD_ling_chong_002,,
成都,3,2026-03-11,惠程科技汽车充电站(商程新能源武侯区水韵园),UC01_CC_DC_AC_Sessions,Normal Test,武侯商程,重庆惠程未来智能电气有限公司,DC,1000.0,250.0,250.0,Scan QR Code,1.0,,31.0,2026-03-11 16:06:00,35.0,APP,Manual Stop,Pass,,開始時間1604,wu_hou_shang_cheng,CD,1,CD_wu_hou_shang_cheng_001,,
