id,name,address,cityname,adname,location,biz_rating,biz_cost,biz_open_time,biz_opentime2,source_hex_id,cpo_final,longitude,latitude
B0KDJ660D8,小鹏超级充电站(能创蜀鑫路充电站小鹏平台),蜀鑫路与金辉路交叉口,成都市,青羊区,"103.990330,30.681500",3.3,,24小时营业,周一至周日 00:00-24:00,hex_252,小鹏,103.99033,30.6815
B0KKP67YXV,小鹏超级充电站(小鹏S4超快充成都郫县和心路站),和心路101号成外附小幼稚园(万科园),成都市,郫都区,"103.979940,30.736856",3.3,,24小时营业,周一至周日 00:00-24:00,hex_252,小鹏,103.97994,30.736856
B0L6CXT6Z8,理想汽车充电站(理想超充站成都青羊百仁社区),苏坡街道百仁社区居委会锦澜观棠,成都市,青羊区,"103.997550,30.697645",3.8,,24小时营业,周一至周日 00:00-24:00,hex_252,理想,103.99755,30.697645
B0KR1UOYJ0,理想汽车充电站(理想超充站成都郫都西南国际医疗器械城),合作街道西芯大道12号西南国际医疗器械城,成都市,郫都区,"103.966890,30.738651",3.8,,24小时营业,周一至周日 00:00-24:00,hex_252,理想,103.96689,30.738651
B0LDV6YRPA,小鹏超级充电站(小鹏S4超快充成都金牛兴普中心站负一层),振兴路99号兴普中心(入口振兴路),成都市,金牛区,"104.009690,30.713926",3.8,,24小时营业,周一至周日 00:00-24:00,hex_252,小鹏,104.00969,30.713926
B0KDX6MTGO,小鹏超级充电站(能创百仁社区充电站小鹏平台),百瑞二路336号附1号,成都市,青羊区,"103.997475,30.697668",3.4,,24小时营业,周一至周日 00:00-24:00,hex_252,小鹏,103.997475,30.697668
B0L0L67NU6,小鹏超级充电站(小鹏S4超快充成都青羊文光路站),文光路188号,成都市,青羊区,"103.958840,30.689592",3.8,,24小时营业,周一至周日 00:00-24:00,hex_252,小鹏,103.95884,30.689592
B0LRN6KLEM,小鹏超级充电站(小鹏S4超快充成都西站服务站),黄田坝街道西站一楼蔚维充电成都西站服务站,成都市,青羊区,"103.977875,30.688822",3.0,,24小时营业,周一至周日 00:00-24:00,hex_252,小鹏,103.977875,30.688822
B0KKVL2TDK,理想超级充电站(理想超充站成都青羊成都西站),蔚景云汽车充电站,成都市,青羊区,"103.977840,30.688917",3.5,,24小时营业,周一至周日 00:00-24:00,hex_252,理想,103.97784,30.688917
B0I05PXCSO,小鹏汽车充电站(小鹏超充成都青羊万达站),苏坡街道日月大道一段989号青羊万达广场B1F区,成都市,青羊区,"103.972966,30.676823",3.8,,24小时营业,周一至周日 00:00-24:00,hex_252,小鹏,103.972966,30.676823
B0L0D6LOXF,小鹏超级充电站(小鹏S4超快充成都西南国际医疗器械城站),郫都区高新西区西芯大道12号(入口西芯大道辅路),成都市,郫都区,"103.966866,30.738733",3.3,,24小时营业,周一至周日 00:00-24:00,hex_252,小鹏,103.966866,30.738733
B0LUV9F8NM,理想超级充电站(理想超充站理想汽车成都羊西零售中心),蜀西路165号,成都市,金牛区,"103.986496,30.716188",3.2,,06:00-22:00,周一至周日 06:00-22:00,hex_252,理想,103.986496,30.716188
B0J05HWBCE,汽车换电站(蔚来换电站成都西站),武青北路551号,成都市,青羊区,"103.977995,30.688997",[],,24小时营业,周一至周日 00:00-24:00,hex_252,蔚来,103.977995,30.688997
B0L61USAJ9,蔚来能源目的地充电站(内部使用成都应急管理部四川消防研究所),金科南路69号南院,成都市,金牛区,"103.996900,30.716858",0.0,,24小时营业,周一至周日 00:00-24:00,hex_252,蔚来,103.9969,30.716858
B0IRFH91TC,汽车充电站(蔚来超充站成都新都香城乐动力),绕城大道东一段地面停车场,成都市,新都区,"104.197127,30.808250",4.5,,24小时营业,周一至周日 00:00-24:00,hex_278,蔚来,104.197127,30.80825
