天數,Date,站點,Use Case,狀態,CPO Name,製造商,MODEL,電壓(V),電流(A),功率(kW),開啟電裝方式,"具備12, 24V選項",開始時間,開始電量(%),結束時間,結束電量(%),结束原因,結束方法,測試結果,備註
2,2025-11-29,广州长大展示中心极充站,DC_UC4_17460724,正常測試,順義衝,許繼電源有限公司,HPC,1000.0,250.0,250.0,掃描 QRcode,,2025-11-29 13:05:59,67.0,2025-11-29 13:09:11,69.0,reached target SOC,手動結束,Pass,极客，此次测试充电桩功率只到 100A. 同时充电车辆 5 台车 8 把枪
2,2025-11-29,广州长大展示中心极充站,DC_UC6_17460721,正常測試,ZEEKR,浩瀚能源科技有限公司,HPC,750.0,67.0,20.0,掃描 QRcode,,2025-11-29 13:22:04,69.0,2025-11-29 13:09:11,,APP,手動結束,Failed,极客，第二次測試
2,2025-11-29,广州长大展示中心极充站,DC_UC6_17460721,正常測試,ZEEKR,浩瀚能源科技有限公司,HPC,750.0,67.0,20.0,掃描 QRcode,,2025-11-29 13:31:40,69.0,2025-11-29 13:37:00,70.0,APP,手動結束,Pass,极客，第二次测试，使用桩 NO7.  坏桩 NO3
2,2025-11-29,广州长大展示中心极充站,DC_UC5_17460720,正常測試,ZEEKR,浩瀚能源科技有限公司,HPC,1000.0,,360.0,掃描 QRcode,,2025-11-29 13:45:19,70.0,2025-11-29 13:49:18,75.0,reached target SOC,手動結束,Pass,"停車位為 004, 但是 ZEEKR 的充電線較短，默認充電位置為車子左側。因此寶馬車主需要確認的是有兩個連續空位"
2,2025-11-29,广州长大展示中心极充站,DC_UC5_17460720,正常測試,ZEEKR,浩瀚能源科技有限公司,HPC,1000.0,,360.0,掃描 QRcode,,2025-11-29 13:45:19,70.0,2025-11-29 13:49:18,75.0,reached target SOC,手動結束,Pass,"停車位為 004, 但是 ZEEKR 的充電線較短，默認充電位置為車子左側。因此寶馬車主需要確認的是有兩個連續空位"
2,2025-11-29,广汽能源广州白云泓泰广场超充站,DC_UC4_17460724,正常測試,理想,万邦数字能源股份有限公司,HPC,1000.0,250.0,250.0,掃描 QRcode,,2025-11-29 14:20:42,72.0,2025-11-29 14:23:13,76.0,CID,手動結束,Pass,
2,2025-11-29,广汽能源广州白云泓泰广场超充站,DC_UC4_17460724,正常測試,广汽,廣汽能源科技有限公司,HPC,1000.0,250.0,480.0,掃描 QRcode,,2025-11-29 14:43:18,76.0,2025-11-29 14:46:29,79.0,LAT,手動結束,Pass,1 號裝 B 槍 設備離線。
3,2025-11-30,依偎能源汽車充電站（騏利廣場）,AC_UC1_17460722,無法測試,依偎能源,依偎能源,,,,,掃描 QRcode,,2025-11-30 11:26:18,69.0,2025-11-30 11:34:42,69.0,APP,手動結束,Failed,電裝壞筍
3,2025-11-30,周门充电站,DC_UC5_17460720,正常測試,周门充电站,深圳市盛宏电器股份有限公司,DC,380.0,258.0,160.0,掃描 QRcode,,2025-11-30 12:45:28,64.0,2025-11-30 12:45:29,70.0,APP,手動結束,Pass,需要重新记录开始时间
3,2025-11-30,周门充电站,DC_UC5_17460720,正常測試,周门充电站,深圳市盛宏电器股份有限公司,DC,380.0,258.0,160.0,掃描 QRcode,,2025-11-30 12:45:28,64.0,2025-11-30 12:45:29,70.0,reached target SOC,手動結束,Pass,需要重新记录开始时间
3,2025-11-30,石化易電,DC_UC4_17460724,正常測試,石化易電,易事特集团股份有限公司,HPC,1000.0,480.0,480.0,掃描 QRcode,,2025-11-30 14:51:03,66.0,2025-11-30 14:54:07,70.0,APP,手動結束,Pass,
3,2025-11-30,石化易電,DC_UC4_17460724,正常測試,石化易電,易事特集团股份有限公司,HPC,1000.0,600.0,480.0,掃描 QRcode,,2025-11-30 14:58:01,70.0,2025-11-30 15:02:08,74.0,APP,手動結束,Pass,與上一條同樣的充電樁，兩個槍不同的功率
4,2025-12-01,逸安啟,-,正常測試,IONCHI,英飞源,HPC,1000.0,600.0,600.0,掃描 QRcode,,2025-12-01 22:38:00,0.0,2025-12-01 22:39:00,1.0,APP,手動結束,Pass,Demand current is only 500A
4,2025-12-01,逸安啟,-,正常測試,IONCHI,英飞源,HPC,1000.0,600.0,600.0,掃描 QRcode,,2025-12-01 23:41:00,1.0,2025-12-01 23:46:00,10.0,CID,手動結束,Pass,Demand current is only 500A
5,2025-12-02,冠伟大厦充电站,DC_UC4_17460724,正常測試,快來衝汽車充電站,杭州奧能電源設備設備有限公司,HPC,1000.0,250.0,250.0,掃描 QRcode,,2025-12-02 10:51:55,6.0,2025-12-02 10:54:29,10.0,APP,手動結束,Pass,停車場路非常狹小
5,2025-12-02,冠伟大厦充电站,DC_UC4_17460724,正常測試,快來衝汽車充電站,杭州奧能電源設備設備有限公司,HPC,1000.0,600.0,600.0,掃描 QRcode,,2025-12-02 10:58:11,7.0,2025-12-02 11:04:19,11.0,APP,手動結束,Pass,停車場路非常狹小 兩個都沒有 24 幅選項
5,2025-12-02,东宏国际广场充电站交流区,DC_UC6_17460721,正常測試,萬城萬衝,广州万城万冲新能源科技有限公司,,,,,掃描 QRcode,,2025-12-02 11:23:40,10.0,2025-12-02 11:32:18,17.0,APP,手動結束,Pass,停車場路非常狹小 兩個都沒有 24 幅選項
5,2025-12-02,东宏国际广场充电站交流区,AC_UC1_17460722,正常測試,萬城萬沖,广州万城万冲新能源科技有限公司,AC,220.0,32.0,7.0,掃描 QRcode,,2025-12-02 11:38:58,17.0,2025-12-02 11:39:38,16.0,APP,手動結束,Pass,該場站內除了 AC 樁外都沒有 PLATE
5,2025-12-02,海珠区保利叁悦A塔充电站,DC_UC5_17460720,正常測試,鵬輝充電,深圳市永聯科技股份有限公司,DC,750.0,366.0,120.0,掃描 QRcode,,2025-12-02 11:53:29,15.0,2025-12-02 12:01:56,20.0,reached target SOC,手動結束,Pass,附近有好吃的銀記腸粉
5,2025-12-02,nan,DC_UC4_17460724,正常測試,South Gird,,,,,,掃描 QRcode,,13:13:00,18.0,13:23:00,19.0,,手動結束,Pass,
5,2025-12-02,nan,DC_UC6_17460721,正常測試,Teld,,,,,,掃描 QRcode,,13:24:00,19.0,13:34:00,21.0,,手動結束,Pass,
5,2025-12-02,nan,DC_UC5_17460720,正常測試,SC,,,,,,掃描 QRcode,,13:48:00,20.0,13:56:00,25.0,,手動結束,Pass,
5,2025-12-02,nan,DC_UC4_17460724,正常測試,EAST 意思特,,,,,,掃描 QRcode,,14:00:00,25.0,14:07:00,27.0,,手動結束,Pass,
5,2025-12-02,nan,DC_UC4_17460724,正常測試,EAST DCWB,,,,,,掃描 QRcode,,14:08:00,27.0,14:12:00,28.0,,手動結束,Pass,
5,2025-12-02,nan,DC_UC6_17460721,正常測試,Xiaoju,,,,,,掃描 QRcode,,14:20:00,27.0,14:31:00,37.0,,手動結束,Pass,
5,2025-12-02,nan,DC_UC5_17460720,正常測試,Teld,,,,,,掃描 QRcode,,14:47:00,35.0,14:55:00,40.0,,手動結束,Pass,
6,2025-12-03,新百佳充电站,,電站無法進入（如門禁、施工等）,nan,,,,,,,,,,,,,,nan,
6,2025-12-03,广州市万科广场充电站,DC_UC5_17460720,正常測試,Lvnenghuichong,,DC,,,,掃描 QRcode,1.0,10:53:00,35.0,11:02:00,40.0,reached target SOC,手動結束,Pass,
6,2025-12-03,广州发展瑞士酒店充电站,DC_UC4_17460724,正常測試,Ruisuzhineng,,DC,,,,掃描 QRcode,1.0,11:03:00,40.0,11:13:00,43.0,reached target SOC,手動結束,Pass,
