station_id,city,cpo,seq,folder_path,has_pile_left,has_pile_right,has_gun,has_plate,last_updated
GZ_XIAOJU_001,GZ,Xiaoju,001,images/structured/GZ_XIAOJU_001,True,True,True,False,2026-03-01T05:56:25.092375Z
GZ_XIAOJU_002,GZ,Xiaoju,002,images/structured/GZ_XIAOJU_002,True,True,True,True,2026-03-01T05:56:25.093477Z
GZ_XIAOJU_003,GZ,Xiaoju,003,images/structured/GZ_XIAOJU_003,True,True,True,True,2026-03-01T05:56:25.094705Z
GZ_XIAOJU_004,GZ,Xiaoju,004,images/structured/GZ_XIAOJU_004,True,False,False,True,2026-03-01T05:56:25.095586Z
GZ_XIAOJU_005,GZ,Xiaoju,005,images/structured/GZ_XIAOJU_005,True,True,True,True,2026-03-01T05:56:25.097072Z
GZ_XIAOJU_006,GZ,Xiaoju,006,images/structured/GZ_XIAOJU_006,False,False,False,True,2026-03-01T05:56:25.097628Z
GZ_XPENG_001,GZ,Xpeng,001,images/structured/GZ_XPENG_001,True,True,True,False,2026-03-01T05:56:25.098663Z
GZ_XPENG_002,GZ,Xpeng,002,images/structured/GZ_XPENG_002,False,False,True,True,2026-03-01T05:56:25.099494Z
GZ_XPENG_003,GZ,Xpeng,003,images/structured/GZ_XPENG_003,False,False,False,True,2026-03-01T05:56:25.100242Z
GZ_YKC_001,GZ,YKC,001,images/structured/GZ_YKC_001,False,True,False,True,2026-03-01T05:56:25.101218Z
GZ_YILIXIN_001,GZ,Yilixin,001,images/structured/GZ_YILIXIN_001,True,True,False,True,2026-03-01T05:56:25.102432Z
GZ_YINFEI_001,GZ,Yinfei,001,images/structured/GZ_YINFEI_001,True,True,True,True,2026-03-01T05:56:25.104951Z
GZ_YIZHIAN_001,GZ,Yizhian,001,images/structured/GZ_YIZHIAN_001,True,True,True,True,2026-03-01T05:56:25.107075Z
GZ_YIZHIAN_002,GZ,Yizhian,002,images/structured/GZ_YIZHIAN_002,True,False,False,True,2026-03-01T05:56:25.108261Z
GZ_YUANLIWUXIAN_001,GZ,Yuanliwuxian,001,images/structured/GZ_YUANLIWUXIAN_001,True,True,False,True,2026-03-01T05:56:25.109937Z
GZ_ZHUHAIYILIAN_001,GZ,ZhuhaiYilian,001,images/structured/GZ_ZHUHAIYILIAN_001,True,True,False,False,2026-03-01T05:56:25.110976Z
GZ_ZEEKR_001,GZ,zeekr,001,images/structured/GZ_ZEEKR_001,True,True,False,True,2026-03-01T05:56:25.112086Z
GZ_ZEEKR_002,GZ,zeekr,002,images/structured/GZ_ZEEKR_002,True,True,False,False,2026-03-01T05:56:25.112904Z
