station_name,longitude,latitude
聚合快充腾龙湾汽车充电站,106.677681,26.49573
户户充汽车充电站(贵阳壹号新能源充电站),106.712906,26.578213
云谷向黔充汽车充电站(天田智慧产业园慢充),106.607395,26.650581
